Alginate/AAm Hydrogel Force (N) vs. Time (s),,,,BEHAF Force (N) vs. Time (s),,
(Date),Time (s),Force (N),,(Date),Time (s) Run 31,Force (N) Run 31
03/17/2022 12:54:48 PM,0,12/30/1899 3:07:12 AM,,03/17/2022 1:22:11 PM,0,0.37
03/17/2022 12:54:48 PM,0.05,12/30/1899 3:36:00 AM,,03/17/2022 1:22:11 PM,0.05,0.38
03/17/2022 12:54:48 PM,0.1,12/30/1899 3:50:24 AM,,03/17/2022 1:22:11 PM,0.1,0.46
03/17/2022 12:54:48 PM,0.15,12/30/1899 4:04:48 AM,,03/17/2022 1:22:11 PM,0.15,0.52
03/17/2022 12:54:48 PM,0.2,12/30/1899 4:33:36 AM,,03/17/2022 1:22:11 PM,0.2,0.49
03/17/2022 12:54:48 PM,0.25,12/30/1899 4:48:00 AM,,03/17/2022 1:22:11 PM,0.25,0.5
03/17/2022 12:54:48 PM,0.3,12/30/1899 4:33:36 AM,,03/17/2022 1:22:11 PM,0.3,0.58
03/17/2022 12:54:48 PM,0.35,12/30/1899 4:19:12 AM,,03/17/2022 1:22:11 PM,0.35,0.69
03/17/2022 12:54:48 PM,0.4,12/30/1899 4:19:12 AM,,03/17/2022 1:22:11 PM,0.4,0.72
03/17/2022 12:54:48 PM,0.45,12/30/1899 4:33:36 AM,,03/17/2022 1:22:11 PM,0.45,0.74
03/17/2022 12:54:48 PM,0.5,12/30/1899 4:48:00 AM,,03/17/2022 1:22:11 PM,0.5,0.84
03/17/2022 12:54:48 PM,0.55,12/30/1899 5:16:48 AM,,03/17/2022 1:22:11 PM,0.55,0.88
03/17/2022 12:54:48 PM,0.6,12/30/1899 5:45:36 AM,,03/17/2022 1:22:11 PM,0.6,0.9
03/17/2022 12:54:48 PM,0.65,12/30/1899 5:45:36 AM,,03/17/2022 1:22:11 PM,0.65,1
03/17/2022 12:54:48 PM,0.7,12/30/1899 5:45:36 AM,,03/17/2022 1:22:11 PM,0.7,0.99
03/17/2022 12:54:48 PM,0.75,12/30/1899 5:31:12 AM,,03/17/2022 1:22:11 PM,0.75,0.98
03/17/2022 12:54:48 PM,0.8,12/30/1899 5:31:12 AM,,03/17/2022 1:22:11 PM,0.8,1.04
03/17/2022 12:54:48 PM,0.85,12/30/1899 5:16:48 AM,,03/17/2022 1:22:11 PM,0.85,1.1
03/17/2022 12:54:48 PM,0.9,12/30/1899 5:31:12 AM,,03/17/2022 1:22:11 PM,0.9,1.1
03/17/2022 12:54:48 PM,0.95,12/30/1899 5:45:36 AM,,03/17/2022 1:22:11 PM,0.95,1.11
03/17/2022 12:54:49 PM,1,12/30/1899 6:00:00 AM,,03/17/2022 1:22:12 PM,1,1.16
03/17/2022 12:54:49 PM,1.05,12/30/1899 6:28:48 AM,,03/17/2022 1:22:12 PM,1.05,1.2
03/17/2022 12:54:49 PM,1.1,12/30/1899 6:57:36 AM,,03/17/2022 1:22:12 PM,1.1,1.24
03/17/2022 12:54:49 PM,1.15,12/30/1899 7:12:00 AM,,03/17/2022 1:22:12 PM,1.15,1.28
03/17/2022 12:54:49 PM,1.2,12/30/1899 7:26:24 AM,,03/17/2022 1:22:12 PM,1.2,1.38
03/17/2022 12:54:49 PM,1.25,12/30/1899 7:55:12 AM,,03/17/2022 1:22:12 PM,1.25,1.46
03/17/2022 12:54:49 PM,1.3,12/30/1899 8:38:24 AM,,03/17/2022 1:22:12 PM,1.3,1.5
03/17/2022 12:54:49 PM,1.35,12/30/1899 9:36:00 AM,,03/17/2022 1:22:12 PM,1.35,1.49
03/17/2022 12:54:49 PM,1.4,12/30/1899 10:19:12 AM,,03/17/2022 1:22:12 PM,1.4,1.52
03/17/2022 12:54:49 PM,1.45,12/30/1899 10:48:00 AM,,03/17/2022 1:22:12 PM,1.45,1.54
03/17/2022 12:54:49 PM,1.5,12/30/1899 11:16:48 AM,,03/17/2022 1:22:12 PM,1.5,1.57
