,Alginate/AAm Hydrogel,,,Hydrogel Adhesive Film,
,Stress (kPa),Strain (%),,Stress (kPa),Strain (%)
,0,0,,0,0
,62.5,1,,583.3333333,4
,83.33333333,3,,708.3333333,7
,104.1666667,7,,895.8333333,9
,125,10,,1020.833333,12
,125,10,,1041.666667,13
,125,10,,1208.333333,15
,145.8333333,13,,1437.5,17
,166.6666667,14,,1500,18
,104.1666667,7,,1541.666667,18.7
,83.33333333,3,,1750,19.8
,83.33333333,3,,1833.333333,20
,104.1666667,7,,1875,21
,125,10,,2083.333333,21.8
,229.1666667,16,,2062.5,22
,312.5,18,,2041.666667,22.4
,333.3333333,20,,2166.666667,22.8
,312.5,18,,2291.666667,23
,333.3333333,20,,2291.666667,23
,312.5,18,,2312.5,24
,333.3333333,20,,2416.666667,25
,500,31,,2500,28
,625,40,,2583.333333,29.9
,770.8333333,53,,2666.666667,31
,875,64,,2875,35
,1000,67,,3041.666667,37
,1062.5,70,,3125,38.9
,1041.666667,74,,3104.166667,41.2
,979.1666667,78,,3166.666667,43
,1000,83,,3208.333333,46
,1062.5,86,,3270.833333,50
,1062.5,88,,3333.333333,63
,1104.166667,92,,3666.666667,78
,1145.833333,99,,5020.833333,156
,1145.833333,112,,5020.833333,156
,1166.666667,115,,5270.833333,162
,1187.5,119,,5666.666667,168
,1187.5,119,,5645.833333,167
,1208.333333,120,,5812.5,175
,1229.166667,123,,6062.5,185
,1270.833333,125,,6208.333333,200
,1312.5,131,,6687.5,220
,1354.166667,135,,6562.5,213.2
,1375,138,,6791.666667,228
,1437.5,141,,7104.166667,237
,1416.666667,145,,7270.833333,254
,1416.666667,145,,7104.166667,237
,1395.833333,150,,7354.166667,260
,1395.833333,150,,7791.666667,267
,1395.833333,150,,7791.666667,267
,1416.666667,156,,8166.666667,276
,1416.666667,156,,8104.166667,274
,1458.333333,163,,8000,271
,1458.333333,163,,8104.166667,274
,1479.166667,165,,8062.5,273
,1520.833333,168,,8166.666667,276
,1541.666667,173,,8208.333333,280
,1520.833333,175,,8229.166667,282
,1520.833333,175,,8479.166667,294
,1520.833333,175,,8333.333333,309
,1520.833333,175,,8375,313
,1541.666667,180,,8604.166667,318
,1583.333333,189,,8791.666667,319.2
,1604.166667,193,,8979.166667,321
,1625,204,,9187.5,329
,1604.166667,193,,9416.666667,332
,1625,204,,9562.5,335
,1687.5,212,,9625,337.5
,1708.333333,217,,9687.5,339
,1687.5,212,,9416.666667,332
,1729.166667,221,,9708.333333,340
,1750,224,,10145.83333,357
,1770.833333,230,,10125,354
,1791.666667,237,,10250,368
,1812.5,240,,10354.16667,372
,1833.333333,243,,10187.5,365
,1854.166667,246,,10229.16667,367
,1875,250,,10458.33333,374
,1875,250,,10645.83333,387
,1875,250,,10833.33333,393
,1916.666667,256.25,,10729.16667,389
,1916.666667,256.25,,10958.33333,401
,1937.5,260,,11104.16667,410
,1937.5,260,,11312.5,416
,1979.166667,261,,11166.66667,413
,1979.166667,261,,11125,411
,2020.833333,264,,11229.16667,414
,2062.5,268,,11083.33333,409
,2062.5,268,,11500,436
,2062.5,268,,11562.5,439
,2083.333333,270,,11583.33333,441
,2041.666667,266,,11687.5,452
,2083.333333,270,,11666.66667,449
,2083.333333,270,,11395.83333,429
,2062.5,268,,11666.66667,449
,2083.333333,270,,11708.33333,456
,2083.333333,270,,12458.33333,530
,2062.5,268,,12541.66667,538
,2062.5,268,,12437.5,527
,2062.5,268,,12625,546
